sample,gene,weight
PknE_IND1,Rv0619,-1.0
PknE_IND1,Rv0618,-1.0
PknE_IND1,Rv0993,0.0
PknE_IND1,Rv3331,0.0
PknE_IND1,Rv1436,0.0
PknE_IND1,Rv0956,0.0
PknE_IND1,Rv1832,0.0
PknE_IND1,Rv3303c,0.0
PknE_IND1,Rv3436c,0.0
PknE_IND1,Rv1512,0.0
PknE_IND1,Rv0070c,0.0
PknE_IND1,Rv1093,0.0
PknE_IND1,Rv1328,0.0
PknE_IND1,Rv1326c,0.0
PknE_IND1,Rv1237,0.0
PknE_IND1,Rv1236,0.0
PknE_IND1,Rv1238,0.0
PknE_IND1,Rv1213,0.0
PknE_IND1,Rv2860c,0.0
PknE_IND1,Rv1878,0.0
PknE_IND1,Rv2220,1.0
PknE_IND1,Rv2222c,1.0
PknE_IND1,Rv2439c,0.0
PknE_IND1,Rv3704c,0.0
PknE_IND1,Rv3432c,0.0
PknE_IND1,Rv2476c,0.0
PknE_IND1,Rv1602,0.0
PknE_IND1,Rv0808,0.0
PknE_IND1,Rv1338,0.0
PknE_IND1,Rv3858c,0.0
PknE_IND1,Rv3859c,1.0
PknE_IND1,Rv2833c,-1.0
PknE_IND1,Rv2832c,-1.0
PknE_IND1,Rv2834c,-1.0
PknE_IND1,Rv2835c,-1.0
PknE_IND1,Rv2205c,0.0
PknE_IND1,Rv1826,1.0
PknE_IND1,Rv1257c,0.0
PknE_IND1,Rv3696c,0.0
PknE_IND1,Rv0112,0.0
PknE_IND1,Rv1511,0.0
PknE_IND1,Rv3396c,0.0
PknE_IND1,Rv2051c,0.0
PknE_IND1,Rv1122,0.0
PknE_IND1,Rv1844c,0.0
PknE_IND1,Rv2277c,-1.0
PknE_IND1,Rv0317c,0.0
PknE_IND1,Rv3842c,1.0
PknE_IND1,Rv1086,0.0
PknE_IND1,Rv2855,0.0
PknE_IND1,Rv1283c,0.0
PknE_IND1,Rv1281c,0.0
PknE_IND1,Rv1280c,0.0
PknE_IND1,Rv1282c,0.0
PknE_IND1,Rv0773c,0.0
PknE_IND1,Rv2394,0.0
PknE_IND1,Rv3609c,0.0
PknE_IND1,Rv1940,-1.0
PknE_IND1,Rv1415,0.0
PknE_IND1,Rv2583c,1.0
PknE_IND1,Rv0386,-1.0
PknE_IND1,Rv3588c,0.0
PknE_IND1,Rv3273,0.0
PknE_IND1,Rv1284,0.0
PknE_IND1,Rv0511,0.0
PknE_IND1,Rv2458,-1.0
PknE_IND1,Rv0650,-1.0
PknE_IND1,Rv1599,0.0
PknE_IND1,Rv0510,0.0
PknE_IND1,Rv0422c,0.0
PknE_IND1,Rv3534c,0.0
PknE_IND1,Rv3469c,-1.0
PknE_IND1,Rv3606c,0.0
PknE_IND1,Rv1294,0.0
PknE_IND1,Rv3341,0.0
PknE_IND1,Rv1296,0.0
PknE_IND1,Rv2231c,-1.0
PknE_IND1,Rv1600,0.0
PknE_IND1,Rv3772,0.0
PknE_IND1,Rv3624c,0.0
PknE_IND1,Rv0486,0.0
PknE_IND1,Rv3339c,0.0
PknE_IND1,Rv0066c,0.0
PknE_IND1,Rv3215,0.0
PknE_IND1,Rv1916,0.0
PknE_IND1,Rv0467,1.0
PknE_IND1,Rv1915,0.0
PknE_IND1,Rv1605,0.0
PknE_IND1,Rv1170,0.0
PknE_IND1,Rv1601,0.0
PknE_IND1,Rv1611,1.0
PknE_IND1,Rv2210c,0.0
PknE_IND1,Rv1843c,0.0
PknE_IND1,Rv3410c,0.0
PknE_IND1,Rv3411c,0.0
PknE_IND1,Rv0853c,0.0
PknE_IND1,Rv3393,-1.0
PknE_IND1,Rv1745c,0.0
PknE_IND1,Rv2995c,0.0
PknE_IND1,Rv2987c,0.0
PknE_IND1,Rv2988c,0.0
PknE_IND1,Rv3710,0.0
PknE_IND1,Rv3001c,1.0
PknE_IND1,Rv1031,-1.0
PknE_IND1,Rv1030,-1.0
PknE_IND1,Rv1029,-1.0
PknE_IND1,Rv2691,0.0
PknE_IND1,Rv2692,0.0
PknE_IND1,Rv2316,-1.0
PknE_IND1,Rv2317,-1.0
PknE_IND1,Rv2318,-1.0
PknE_IND1,Rv0694,0.0
PknE_IND1,Rv0183,0.0
PknE_IND1,Rv0873,1.0
PknE_IND1,Rv3564,-1.0
PknE_IND1,Rv2789c,0.0
PknE_IND1,Rv3563,-1.0
PknE_IND1,Rv3274c,0.0
PknE_IND1,Rv0752c,0.0
PknE_IND1,Rv0215c,0.0
PknE_IND1,Rv1872c,1.0
PknE_IND1,Rv1902c,0.0
PknE_IND1,Rv0191,0.0
PknE_IND1,Rv1837c,1.0
PknE_IND1,Rv2471,0.0
PknE_IND1,Rv3264c,0.0
PknE_IND1,Rv3255c,0.0
PknE_IND1,Rv2611c,0.0
PknE_IND1,Rv2380c,-1.0
PknE_IND1,Rv2379c,-1.0
PknE_IND1,Rv2384,-1.0
PknE_IND1,Rv2382c,-1.0
PknE_IND1,Rv2378c,-1.0
PknE_IND1,Rv2383c,-1.0
PknE_IND1,Rv2381c,-1.0
PknE_IND1,Rv1347c,0.0
PknE_IND1,Rv2243,1.0
PknE_IND1,Rv1240,0.0
PknE_IND1,Rv2332,0.0
PknE_IND1,Rv3581c,1.0
PknE_IND1,Rv3582c,1.0
PknE_IND1,Rv1392,1.0
PknE_IND1,Rv2124c,1.0
PknE_IND1,Rv0137c,0.0
PknE_IND1,Rv2674,0.0
PknE_IND1,Rv1133c,1.0
PknE_IND1,Rv1604,0.0
PknE_IND1,Rv2701c,-1.0
PknE_IND1,Rv0046c,1.0
PknE_IND1,Rv1322A,1.0
PknE_IND1,Rv0855,0.0
PknE_IND1,Rv1493,0.0
PknE_IND1,Rv1492,0.0
PknE_IND1,Rv0753c,0.0
PknE_IND1,Rv1692,0.0
PknE_IND1,Rv2225,1.0
PknE_IND1,Rv1562c,0.0
PknE_IND1,Rv1563c,-1.0
PknE_IND1,Rv0958,0.0
PknE_IND1,Rv1082,0.0
PknE_IND1,Rv0819,0.0
PknE_IND1,Rv3356c,0.0
PknE_IND1,Rv0126,0.0
PknE_IND1,Rv0470c,1.0
PknE_IND1,Rv0644c,0.0
PknE_IND1,Rv0503c,1.0
PknE_IND1,Rv0645c,0.0
PknE_IND1,Rv0642c,1.0
PknE_IND1,Rv3800c,1.0
PknE_IND1,Rv2245,1.0
PknE_IND1,Rv0098,-1.0
PknE_IND1,Rv2246,1.0
PknE_IND1,Rv1483,0.0
PknE_IND1,Rv3158,0.0
PknE_IND1,Rv3150,0.0
PknE_IND1,Rv3148,0.0
PknE_IND1,Rv3153,0.0
PknE_IND1,Rv3152,0.0
PknE_IND1,Rv3147,0.0
PknE_IND1,Rv3157,0.0
PknE_IND1,Rv3145,0.0
PknE_IND1,Rv3155,0.0
PknE_IND1,Rv3156,0.0
PknE_IND1,Rv3149,0.0
PknE_IND1,Rv3151,0.0
PknE_IND1,Rv3154,0.0
PknE_IND1,Rv0082,0.0
PknE_IND1,Rv3146,0.0
PknE_IND1,Rv1695,0.0
PknE_IND1,Rv2438c,0.0
PknE_IND1,Rv0157,0.0
PknE_IND1,Rv0155,0.0
PknE_IND1,Rv0156,0.0
PknE_IND1,Rv3236c,0.0
PknE_IND1,Rv0573c,0.0
PknE_IND1,Rv1330c,-1.0
PknE_IND1,Rv1737c,1.0
PknE_IND1,Rv0261c,-1.0
PknE_IND1,Rv0267,0.0
PknE_IND1,Rv2329c,1.0
PknE_IND1,Rv2287,-1.0
PknE_IND1,Rv2445c,0.0
PknE_IND1,Rv2920c,0.0
PknE_IND1,Rv2043c,0.0
PknE_IND1,Rv2421c,0.0
PknE_IND1,Rv2207,0.0
PknE_IND1,Rv1596,1.0
PknE_IND1,Rv1161,1.0
PknE_IND1,Rv1164,0.0
PknE_IND1,Rv1163,0.0
PknE_IND1,Rv1736c,1.0
PknE_IND1,Rv1162,1.0
PknE_IND1,Rv0021c,0.0
PknE_IND1,Rv1894c,0.0
PknE_IND1,Rv1533,0.0
PknE_IND1,Rv0548c,0.0
PknE_IND1,Rv1160,0.0
PknE_IND1,Rv2344c,0.0
PknE_IND1,Rv2391,1.0
PknE_IND1,Rv0253,0.0
PknE_IND1,Rv0252,0.0
PknE_IND1,Rv1525,-1.0
PknE_IND1,Rv3265c,0.0
PknE_IND1,Rv1656,0.0
PknE_IND1,Rv2503c,0.0
PknE_IND1,Rv2504c,0.0
PknE_IND1,Rv0884c,0.0
PknE_IND1,Rv1385,0.0
PknE_IND1,Rv0266c,0.0
PknE_IND1,Rv2322c,-1.0
PknE_IND1,Rv2321c,-1.0
PknE_IND1,Rv0382c,0.0
PknE_IND1,Rv0118c,0.0
PknE_IND1,Rv1248c,0.0
PknE_IND1,Rv0555,0.0
PknE_IND1,Rv1187,0.0
PknE_IND1,Rv0500,0.0
PknE_IND1,Rv3602c,0.0
PknE_IND1,Rv1755c,-1.0
PknE_IND1,Rv2156c,0.0
PknE_IND1,Rv2392,1.0
PknE_IND1,Rv2967c,0.0
PknE_IND1,Rv0805,1.0
PknE_IND1,Rv0843,-1.0
PknE_IND1,Rv2241,0.0
PknE_IND1,Rv0462,1.0
PknE_IND1,Rv2497c,1.0
PknE_IND1,Rv2496c,1.0
PknE_IND1,Rv2495c,1.0
PknE_IND1,Rv2941,1.0
PknE_IND1,Rv2945c,0.0
PknE_IND1,Rv2607,-1.0
PknE_IND1,Rv0211,1.0
PknE_IND1,Rv3010c,0.0
PknE_IND1,Rv2029c,1.0
PknE_IND1,Rv2996c,0.0
PknE_IND1,Rv0728c,0.0
PknE_IND1,Rv0946c,0.0
PknE_IND1,Rv1437,0.0
PknE_IND1,Rv1445c,0.0
PknE_IND1,Rv2233,0.0
PknE_IND1,Rv0489,0.0
PknE_IND1,Rv3400,0.0
PknE_IND1,Rv3068c,0.0
PknE_IND1,Rv2746c,0.0
PknE_IND1,Rv1822,0.0
PknE_IND1,Rv0820,0.0
PknE_IND1,Rv0936,0.0
PknE_IND1,Rv0545c,1.0
PknE_IND1,Rv2281,-1.0
PknE_IND1,Rv3308,-1.0
PknE_IND1,Rv1092c,0.0
PknE_IND1,Rv3628,0.0
PknE_IND1,Rv0512,0.0
PknE_IND1,Rv1391,1.0
PknE_IND1,Rv2247,1.0
PknE_IND1,Rv3285,0.0
PknE_IND1,Rv1127c,0.0
PknE_IND1,Rv2702,0.0
PknE_IND1,Rv2984,0.0
PknE_IND1,Rv3754,0.0
PknE_IND1,Rv3838c,0.0
PknE_IND1,Rv2677c,0.0
PknE_IND1,Rv2163c,0.0
PknE_IND1,Rv3627c,0.0
PknE_IND1,Rv2911,0.0
PknE_IND1,Rv0772,-1.0
PknE_IND1,Rv0809,1.0
PknE_IND1,Rv1603,0.0
PknE_IND1,Rv1606,0.0
PknE_IND1,Rv0780,0.0
PknE_IND1,Rv2122c,0.0
PknE_IND1,Rv2928,0.0
PknE_IND1,Rv2932,0.0
PknE_IND1,Rv2934,0.0
PknE_IND1,Rv2933,0.0
PknE_IND1,Rv2935,0.0
PknE_IND1,Rv2931,0.0
PknE_IND1,Rv0788,1.0
PknE_IND1,Rv0803,0.0
PknE_IND1,Rv1188,0.0
PknE_IND1,Rv1017c,1.0
PknE_IND1,Rv3227,0.0
PknE_IND1,Rv0437c,0.0
PknE_IND1,Rv0505c,0.0
PknE_IND1,Rv3042c,0.0
PknE_IND1,Rv0436c,0.0
PknE_IND1,Rv0408,0.0
PknE_IND1,Rv2965c,0.0
PknE_IND1,Rv3307,0.0
PknE_IND1,Rv2074,0.0
PknE_IND1,Rv1155,0.0
PknE_IND1,Rv1617,0.0
PknE_IND1,Rv0162c,-1.0
PknE_IND1,Rv3777,0.0
PknE_IND1,Rv1594,1.0
PknE_IND1,Rv2064,0.0
PknE_IND1,Rv1412,0.0
PknE_IND1,Rv1416,0.0
PknE_IND1,Rv2436,-1.0
PknE_IND1,Rv0570,1.0
PknE_IND1,Rv1981c,0.0
PknE_IND1,Rv3048c,0.0
PknE_IND1,Rv3051c,1.0
PknE_IND1,Rv1408,0.0
PknE_IND1,Rv2465c,0.0
PknE_IND1,Rv2962c,0.0
PknE_IND1,Rv2958c,0.0
PknE_IND1,Rv3113,-1.0
PknE_IND1,Rv2386c,-1.0
PknE_IND1,Rv1202,0.0
PknE_IND1,Rv0858c,0.0
PknE_IND1,Rv1464,0.0
PknE_IND1,Rv2335,0.0
PknE_IND1,Rv0069c,0.0
PknE_IND1,Rv2847c,0.0
PknE_IND1,Rv2393,1.0
PknE_IND1,Rv2552c,-1.0
PknE_IND1,Rv2539c,0.0
PknE_IND1,Rv1079,1.0
PknE_IND1,Rv0391,0.0
PknE_IND1,Rv1200,0.0
PknE_IND1,Rv2601,-1.0
PknE_IND1,Rv0432,0.0
PknE_IND1,Rv3846,1.0
PknE_IND1,Rv1731,0.0
PknE_IND1,Rv0234c,0.0
PknE_IND1,Rv0542c,0.0
PknE_IND1,Rv0553,-1.0
PknE_IND1,Rv0951,0.0
PknE_IND1,Rv0952,0.0
PknE_IND1,Rv2397c,0.0
PknE_IND1,Rv1739c,1.0
PknE_IND1,Rv2398c,0.0
PknE_IND1,Rv2400c,0.0
PknE_IND1,Rv2399c,0.0
PknE_IND1,Rv1448c,1.0
PknE_IND1,Rv1672c,0.0
PknE_IND1,Rv3465,0.0
PknE_IND1,Rv3468c,-1.0
PknE_IND1,Rv3634c,1.0
PknE_IND1,Rv3464,0.0
PknE_IND1,Rv3784,0.0
PknE_IND1,Rv1201c,0.0
PknE_IND1,Rv1559,0.0
PknE_IND1,Rv3737,0.0
PknE_IND1,Rv0417,0.0
PknE_IND1,Rv1449c,0.0
PknE_IND1,Rv3314c,0.0
PknE_IND1,Rv2764c,0.0
PknE_IND1,Rv2977c,0.0
PknE_IND1,Rv0414c,0.0
PknE_IND1,Rv1438,0.0
PknE_IND1,Rv3913,0.0
PknE_IND1,Rv2006,1.0
PknE_IND1,Rv3372,0.0
PknE_IND1,Rv3490,0.0
PknE_IND1,Rv1373,0.0
PknE_IND1,Rv2267c,-1.0
PknE_IND1,Rv0295c,0.0
PknE_IND1,Rv3529c,-1.0
PknE_IND1,Rv1612,0.0
PknE_IND1,Rv1613,0.0
PknE_IND1,Rv2158c,1.0
PknE_IND1,Rv1315,0.0
PknE_IND1,Rv2153c,-1.0
PknE_IND1,Rv2155c,0.0
PknE_IND1,Rv2152c,0.0
PknE_IND1,Rv3818,0.0
PknE_IND1,Rv0482,0.0
PknE_IND1,Rv2361c,0.0
PknE_IND1,Rv0501,1.0
PknE_IND1,Rv0536,0.0
PknE_IND1,Rv3809c,0.0
PknE_IND1,Rv0322,-1.0
PknE_IND1,Rv2157c,0.0
PknE_IND1,Rv2883c,0.0
PknE_IND1,Rv2678c,0.0
PknE_IND1,Rv3309c,0.0
PknE_IND1,Rv1849,0.0
PknE_IND1,Rv1850,0.0
PknE_IND1,Rv1848,0.0
PknE_IND1,Rv0729,-1.0
PknE_IND1,Rv3300c,0.0
PknE_IND1,Rv2793c,0.0
PknE_IND1,Rv0113,0.0
PknE_IND1,Rv0115,0.0
PknE_IND1,Rv0114,0.0
PknE_IND1,Rv2868c,1.0
PknE_IND1,Rv3382c,0.0
PknE_IND1,Rv1110,1.0
PknE_IND1,Rv0392c,0.0
PknE_IND1,Rv1130,1.0
PknE_IND1,Rv1854c,1.0
PknE_IND1,Rv0073,0.0
PknE_IND1,Rv2564,0.0
PknE_IND1,Rv0072,0.0
PknE_IND1,Rv0411c,0.0
PknE_IND1,Rv3401,0.0
PknE_IND1,Rv2604c,0.0
PknE_IND1,Rv2606c,1.0
PknE_IND1,Rv2856,0.0
PknE_IND1,Rv0924c,-1.0
PknE_IND1,Rv3536c,0.0
PknE_IND1,Rv1857,0.0
PknE_IND1,Rv1858,0.0
PknE_IND1,Rv1859,0.0
PknE_IND1,Rv0132c,0.0
PknE_IND1,Rv0407,0.0
PknE_IND1,Rv1173,1.0
PknE_IND1,Rv3262,0.0
PknE_IND1,Rv3261,0.0
PknE_IND1,Rv3109,-1.0
PknE_IND1,Rv0869c,0.0
PknE_IND1,Rv3111,-1.0
PknE_IND1,Rv0866,0.0
PknE_IND1,Rv3119,0.0
PknE_IND1,Rv0865,0.0
PknE_IND1,Rv0994,0.0
PknE_IND1,Rv2453c,0.0
PknE_IND1,Rv1467c,0.0
PknE_IND1,Rv0154c,0.0
PknE_IND1,Rv3139,1.0
PknE_IND1,Rv3039c,0.0
PknE_IND1,Rv0231,0.0
PknE_IND1,Rv0456c,0.0
PknE_IND1,Rv0271c,0.0
PknE_IND1,Rv1346,0.0
PknE_IND1,Rv0243,1.0
PknE_IND1,Rv3543c,0.0
PknE_IND1,Rv3546,0.0
PknE_IND1,Rv1679,0.0
PknE_IND1,Rv3140,1.0
PknE_IND1,Rv3550,-1.0
PknE_IND1,Rv0222,0.0
PknE_IND1,Rv3141,0.0
PknE_IND1,Rv2831,0.0
PknE_IND1,Rv3556c,0.0
PknE_IND1,Rv2500c,0.0
PknE_IND1,Rv0975c,-1.0
PknE_IND1,Rv3544c,0.0
PknE_IND1,Rv1933c,0.0
PknE_IND1,Rv2679,0.0
PknE_IND1,Rv3573c,-1.0
PknE_IND1,Rv1912c,0.0
PknE_IND1,Rv0971c,0.0
PknE_IND1,Rv3560c,-1.0
PknE_IND1,Rv1070c,0.0
PknE_IND1,Rv2724c,0.0
PknE_IND1,Rv3774,0.0
PknE_IND1,Rv0632c,1.0
PknE_IND1,Rv1074c,1.0
PknE_IND1,Rv3505,0.0
PknE_IND1,Rv0244c,1.0
PknE_IND1,Rv0673,0.0
PknE_IND1,Rv1715,-1.0
PknE_IND1,Rv3504,0.0
PknE_IND1,Rv1071c,0.0
PknE_IND1,Rv0400c,0.0
PknE_IND1,Rv0972c,-1.0
PknE_IND1,Rv1935c,-1.0
PknE_IND1,Rv0131c,0.0
PknE_IND1,Rv3562,-1.0
PknE_IND1,Rv3797,0.0
PknE_IND1,Rv3761c,0.0
PknE_IND1,Rv3373,0.0
PknE_IND1,Rv0672,0.0
PknE_IND1,Rv2486,0.0
PknE_IND1,Rv3374,0.0
PknE_IND1,Rv1472,0.0
PknE_IND1,Rv3516,0.0
PknE_IND1,Rv1142c,0.0
PknE_IND1,Rv0905,1.0
PknE_IND1,Rv3061c,0.0
PknE_IND1,Rv1141c,0.0
PknE_IND1,Rv1934c,-1.0
PknE_IND1,Rv0675,0.0
PknE_IND1,Rv0751c,0.0
PknE_IND1,Rv1635c,0.0
PknE_IND1,Rv2181,0.0
PknE_IND1,Rv2174,0.0
PknE_IND1,Rv3793,-1.0
PknE_IND1,Rv2298,0.0
PknE_IND1,Rv0577,0.0
PknE_IND1,Rv0911,0.0
PknE_IND1,Rv0684,1.0
PknE_IND1,Rv3025c,0.0
PknE_IND1,Rv2357,0.0
PknE_IND1,Rv1689,0.0
PknE_IND1,Rv1106c,0.0
PknE_IND1,Rv3538,0.0
PknE_IND1,Rv3570c,0.0
PknE_IND1,Rv3567c,0.0
PknE_IND1,Rv3502c,0.0
PknE_IND1,Rv3569c,0.0
PknE_IND1,Rv3409c,1.0
PknE_IND1,Rv3568c,0.0
PknE_IND1,Rv3552,-1.0
PknE_IND1,Rv3551,-1.0
PknE_IND1,Rv3526,0.0
PknE_IND1,Rv3571,0.0
PknE_IND1,Rv3541c,-1.0
PknE_IND1,Rv3518c,0.0
PknE_IND1,Rv3545c,0.0
PknE_IND1,Rv3540c,-1.0
PknE_IND1,Rv3561,-1.0
PknE_IND1,Rv3537,0.0
PknE_IND1,Rv3515c,0.0
PknE_IND1,Rv3506,-1.0
PknE_IND1,Rv3523,0.0
PknE_IND1,Rv3522,-1.0
PknE_IND1,Rv1135A,-1.0
PknE_IND1,Rv3556,0.0
PknE_IND1,Rv3799c,1.0
PknE_IND1,Rv3500c,0.0
PknE_IND1,Rv3499c,0.0
PknE_IND1,Rv3494c,0.0
PknE_IND1,Rv3496c,0.0
PknE_IND1,Rv3495c,0.0
PknE_IND1,Rv3497c,0.0
PknE_IND1,Rv3501c,0.0
PknE_IND1,Rv3498c,0.0
PknE_IND1,Rv0438c,0.0
PknE_IND1,Rv3322c,-1.0
PknE_IND1,Rv3206c,1.0
PknE_IND1,Rv2959c,0.0
PknE_IND1,Rv3782,0.0
PknE_IND1,Rv2673,0.0
PknE_IND1,Rv3805c,0.0
PknE_IND1,Rv3375,-1.0
PknE_IND1,Rv1263,-1.0
PknE_IND1,Rv3175,0.0
PknE_IND1,Rv2888c,0.0
PknE_IND1,Rv2936,0.0
PknE_IND1,Rv2937,0.0
PknE_IND1,Rv2938,0.0
PknE_IND1,Rv2942,0.0
PknE_IND1,Rv2939,0.0
PknE_IND1,Rv2952,0.0
PknE_IND1,Rv2951c,0.0
PknE_IND1,Rv2173,0.0
PknE_IND1,Rv0929,0.0
PknE_IND1,Rv0928,0.0
PknE_IND1,Rv0934,0.0
PknE_IND1,Rv0935,0.0
PknE_IND1,Rv0933,0.0
PknE_IND1,Rv0930,0.0
PknE_IND1,Rv0932c,1.0
PknE_IND1,Rv2061c,0.0
PknE_IND1,Rv2059,0.0
PknE_IND1,Rv2060,0.0
PknE_IND1,Rv1819c,0.0
PknE_IND1,Rv0203,0.0
PknE_IND1,Rv0206c,1.0
PknE_IND1,Rv0202c,0.0
PknE_IND1,Rv3029c,1.0
PknE_IND1,Rv3028c,0.0
PknE_IND1,Rv1456c,0.0
PknE_IND1,Rv2781c,0.0
PknE_IND1,Rv3553,-1.0
PknE_IND1,Rv1852,-1.0
PknE_IND1,Rv1853,0.0
PknE_IND1,Rv1851,-1.0
PknE_IND1,Rv3824c,1.0
PknE_IND1,Rv3820c,0.0
PknE_IND1,Rv3823c,1.0
PknE_IND1,Rv3825c,1.0
PknE_IND1,Rv2294,0.0
PknE_IND1,Rv1334,0.0
PknE_IND1,Rv2895c,0.0
PknE_IND1,Rv3116,0.0
PknE_IND1,Rv2377c,-1.0
PknE_IND1,Rv1862,0.0
PknE_IND1,Rv1530,-1.0
PknE_IND1,Rv3086,0.0
PknE_IND1,Rv0761c,1.0
PknE_IND1,Rv0535,-1.0
PknE_IND1,Rv2048c,0.0
PknE_IND1,Rv0127,0.0
PknE_IND1,Rv1327c,0.0
PknE_IND1,Rv1564c,0.0
PknE_IND1,Rv3031,0.0
PknE_IND1,Rv3032,-1.0
PknE_IND1,Rv1212c,0.0
PknE_IND1,Rv3378c,-1.0
PknE_IND1,Rv3383c,0.0
PknE_IND1,Rv3703c,0.0
PknE_IND1,none,0.0
PknE_IND1,Rv2291,0.0
PknE_IND1,Rv3117,1.0
PknE_IND1,Rv0815c,1.0
PknE_IND1,Rv1427c,0.0
PknE_IND1,Rv0270,0.0
PknE_IND1,Rv0119,0.0
PknE_IND1,Rv0035,0.0
PknE_IND1,Rv0852,0.0
PknE_IND1,Rv1750c,0.0
PknE_IND1,Rv1925,1.0
PknE_IND1,Rv2948c,0.0
PknE_IND1,Rv0404,0.0
PknE_IND1,Rv1193,0.0
PknE_IND1,Rv1058,0.0
PknE_IND1,Rv1549,0.0
PknE_IND1,Rv3089,0.0
PknE_IND1,Rv1521,0.0
PknE_IND1,Rv0166,1.0
PknE_IND1,Rv2187,0.0
PknE_IND1,Rv0551c,0.0
PknE_IND1,Rv1206,0.0
PknE_IND1,Rv2505c,-1.0
PknE_IND1,Rv3513c,0.0
PknE_IND1,Rv1550,0.0
PknE_IND1,Rv2950c,1.0
PknE_IND1,Rv0214,-1.0
PknE_IND1,Rv2040c,-1.0
PknE_IND1,Rv1235,0.0
PknE_IND1,Rv2041c,0.0
PknE_IND1,Rv2038c,-1.0
PknE_IND1,Rv2039c,-1.0
PknE_IND1,Rv1143,0.0
PknE_IND1,Rv2850c,0.0
PknE_IND1,Rv2713,0.0
PknE_IND1,Rv0018c,0.0
PknE_IND1,Rv2228c,0.0
PknE_IND1,Rv0562,0.0
PknE_IND1,Rv3702c,0.0
PknE_IND1,Rv3700c,0.0
PknE_IND1,Rv2754c,-1.0
PknE_IND1,Rv3645,0.0
PknE_IND1,Rv0634c,0.0
PknE_IND1,Rv2581c,0.0
PknE_IND1,Rv2641,1.0
PknE_IND1,Rv0249c,0.0
PknE_IND1,Rv3266c,0.0
PknE_IND1,Rv3592,1.0
PknE_IND1,Rv3802c,1.0
PknE_IND1,Rv0774c,0.0
PknE_IND1,Rv0519c,-1.0
PknE_IND1,Rv1288,0.0
PknE_IND1,Rv0125,1.0
PknE_IND1,Rv3199c,0.0
PknE_IND1,Rv3701c,0.0
PknE_IND1,Rv0294,0.0
PknE_IND1,Rv0648,-1.0
PknE_IND1,Rv1124,0.0
PknE_IND1,Rv3670,0.0
PknE_IND1,Rv0134,0.0
PknE_IND1,Rv2740,0.0
PknE_IND1,Rv3617,0.0
PknE_IND1,Rv1938,-1.0
PknE_IND1,Rv3176c,0.0
PknE_IND1,Rv3803c,1.0
PknE_IND1,Rv3804c,1.0
PknE_IND1,Rv0129c,0.0
PknE_IND1,Rv1886c,1.0
PknE_IND1,Rv0413,0.0
PknE_IND1,Rv3087,0.0
PknE_IND1,Rv3233c,0.0
PknE_IND1,Rv0221,0.0
PknE_IND1,Rv3734c,1.0
PknE_IND1,Rv2484c,0.0
PknE_IND1,Rv0895,-1.0
PknE_IND1,Rv2285,0.0
PknE_IND1,Rv1425,0.0
PknE_IND1,Rv3740c,0.0
PknE_IND1,Rv3480c,0.0
PknE_IND1,Rv3371,0.0
PknE_IND1,Rv3234c,0.0
PknE_IND1,Rv3130c,1.0
PknE_IND1,Rv1760,0.0
PknE_IND1,Rv3088,0.0
PknE_IND1,Rv3097c,-1.0
PknE_IND1,Rv2385,-1.0
PknE_IND1,Rv3487c,1.0
PknE_IND1,Rv3084,-1.0
PknE_IND1,Rv2463,0.0
PknE_IND1,Rv0646c,0.0
PknE_IND1,Rv0220,1.0
PknE_IND1,Rv1426c,0.0
PknE_IND1,Rv1497,0.0
PknE_IND1,Rv3203,0.0
PknE_IND1,Rv1104,0.0
PknE_IND1,Rv1923,0.0
PknE_IND1,Rv1105,-1.0
PknE_IND1,Rv1399c,0.0
PknE_IND1,Rv1076,0.0
PknE_IND1,Rv2970c,0.0
PknE_IND1,Rv1400c,0.0
PknE_IND1,Rv3775,0.0
PknE_IND1,Rv2349c,-1.0
PknE_IND1,Rv2351c,0.0
PknE_IND1,Rv2284,0.0
PknE_IND1,Rv2045c,0.0
PknE_IND1,Rv2350c,-1.0
PknE_IND1,Rv2485c,0.0
PknE_IND1,Rv0217c,-1.0
PknE_IND1,Rv3817,-1.0
PknE_IND2,Rv1295,0.0
PknE_IND2,Rv2573,-1.0
PknE_IND2,Rv3290c,1.0
PknE_IND2,Rv2589,0.0
PknE_IND2,Rv1323,1.0
PknE_IND2,Rv3535c,0.0
PknE_IND2,Rv0254c,0.0
PknE_IND2,Rv3280,0.0
PknE_IND2,Rv0904c,0.0
PknE_IND2,Rv3281,1.0
PknE_IND2,Rv3441c,0.0
PknE_IND2,Rv1302,0.0
PknE_IND2,Rv1654,0.0
PknE_IND2,Rv2747,0.0
PknE_IND2,Rv1653,0.0
PknE_IND2,Rv0409,0.0
PknE_IND2,Rv1820,0.0
PknE_IND2,Rv3509c,0.0
PknE_IND2,Rv3002c,0.0
PknE_IND2,Rv3003c,0.0
PknE_IND2,Rv3470c,-1.0
PknE_IND2,Rv2922A,0.0
PknE_IND2,Rv1475c,0.0
PknE_IND2,Rv1655,0.0
PknE_IND2,Rv3310,0.0
PknE_IND2,Rv2523c,0.0
PknE_IND2,Rv3667,0.0
PknE_IND2,Rv3313c,0.0
PknE_IND2,Rv0812,0.0
PknE_IND2,Rv2236c,-1.0
PknE_IND2,Rv1005c,0.0
PknE_IND2,Rv0013,0.0
PknE_IND2,Rv0255c,0.0
PknE_IND2,Rv2848c,-1.0
