,Strain,Drug,Dose,Timept_h,Batch,Time_bin,Group,Reference
Rv_ND_T0_Set_A_R1_S1,H37Rv,Untreated,0,0,1,2,-1,0
Rv_ND_T0_Set_B_R1_S19,H37Rv,Untreated,0,0,1,2,-1,0
Rv_ND_T0_Set_A_R2_S2,H37Rv,Untreated,0,0,2,2,-1,0
Rv_ND_T0_Set_B_R2_S20,H37Rv,Untreated,0,0,2,2,-1,0
5_DELTRUE_D0_DrugRNAseq_U_R,H37Rv,DEL,0.09uM,0,4,2,-1,0
6_DELTRUE_D0_DrugRNAseq_U_R,H37Rv,DEL,0.09uM,0,4,2,-1,0
7_DELTRUE_D0_DrugRNAseq_U_R,H37Rv,DEL,0.09uM,0,4,2,-1,0
8_DELTRUE_D0_DrugRNAseq_U_R,H37Rv,DEL,0.09uM,0,4,2,-1,0
1_DELFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,4,2,-1,0
2_DELFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,4,2,-1,0
3_DELFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,4,2,-1,0
4_DELFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,4,2,-1,0
5_SUTTRUE_D0_DrugRNAseq_U_R,H37Rv,SUT,5.6uM,0,5,2,-1,0
6_SUTTRUE_D0_DrugRNAseq_U_R,H37Rv,SUT,5.6uM,0,5,2,-1,0
7_SUTTRUE_D0_DrugRNAseq_U_R,H37Rv,SUT,5.6uM,0,5,2,-1,0
8_SUTTRUE_D0_DrugRNAseq_U_R,H37Rv,SUT,5.6uM,0,5,2,-1,0
1_SUTFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,5,2,-1,0
2_SUTFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,5,2,-1,0
3_SUTFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,5,2,-1,0
4_SUTFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,5,2,-1,0
1_VERFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,6,2,-1,0
2_VERFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,6,2,-1,0
3_VERFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,6,2,-1,0
4_VERFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,6,2,-1,0
5_VERTRUE_D0_DrugRNAseq_U_R,H37Rv,VER,176uM,0,6,2,-1,0
6_VERTRUE_D0_DrugRNAseq_U_R,H37Rv,VER,176uM,0,6,2,-1,0
7_VERTRUE_D0_DrugRNAseq_U_R,H37Rv,VER,176uM,0,6,2,-1,0
8_VERTRUE_D0_DrugRNAseq_U_R,H37Rv,VER,176uM,0,6,2,-1,0
5_EMBTRUE_D0_DrugRNAseq_U_R,H37Rv,EMB,2.45uM,0,7,2,-1,0
6_EMBTRUE_D0_DrugRNAseq_U_R,H37Rv,EMB,2.45uM,0,7,2,-1,0
7_EMBTRUE_D0_DrugRNAseq_U_R,H37Rv,EMB,2.45uM,0,7,2,-1,0
8_EMBTRUE_D0_DrugRNAseq_U_R,H37Rv,EMB,2.45uM,0,7,2,-1,0
1_EMBFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,7,2,-1,0
2_EMBFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,7,2,-1,0
3_EMBFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,7,2,-1,0
4_EMBFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,7,2,-1,0
5_DDSTRUE_D0_DrugRNAseq_U_R,H37Rv,Dapsone,25uM,0,8,2,-1,0
6_DDSTRUE_D0_DrugRNAseq_U_R,H37Rv,Dapsone,25uM,0,8,2,-1,0
7_DDSTRUE_D0_DrugRNAseq_U_R,H37Rv,Dapsone,25uM,0,8,2,-1,0
8_DDSTRUE_D0_DrugRNAseq_U_R,H37Rv,Dapsone,25uM,0,8,2,-1,0
1_DDSFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,8,2,-1,0
2_DDSFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,8,2,-1,0
3_DDSFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,8,2,-1,0
4_DDSFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,8,2,-1,0
5_LZDTRUE_D0_DrugRNAseq_U_R,H37Rv,LZD,4uM,0,9,2,-1,0
6_LZDTRUE_D0_DrugRNAseq_U_R,H37Rv,LZD,4uM,0,9,2,-1,0
7_LZDTRUE_D0_DrugRNAseq_U_R,H37Rv,LZD,4uM,0,9,2,-1,0
8_LZDTRUE_D0_DrugRNAseq_U_R,H37Rv,LZD,4uM,0,9,2,-1,0
1_LZDFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,9,2,-1,0
2_LZDFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,9,2,-1,0
3_LZDFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,9,2,-1,0
4_LZDFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,9,2,-1,0
5_SMXTRUE_D0_DrugRNAseq_U_R,H37Rv,SMX,12.5uM,0,10,2,-1,0
6_SMXTRUE_D0_DrugRNAseq_U_R,H37Rv,SMX,12.5uM,0,10,2,-1,0
7_SMXTRUE_D0_DrugRNAseq_U_R,H37Rv,SMX,12.5uM,0,10,2,-1,0
1_SMXFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,10,2,-1,0
2_SMXFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,10,2,-1,0
3_SMXFALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,10,2,-1,0
SQTRUE_D0_DrugRNAseq_U_R1,H37Rv,SQ109,3uM,0,11,2,-1,0
SQTRUE_D0_DrugRNAseq_U_R2,H37Rv,SQ109,3uM,0,11,2,-1,0
SQTRUE_D0_DrugRNAseq_U_R3,H37Rv,SQ109,3uM,0,11,2,-1,0
SQTRUE_D0_DrugRNAseq_U_R4,H37Rv,SQ109,3uM,0,11,2,-1,0
SQFALSE_D0_DrugRNAseq_U_R1,H37Rv,Untreated,0,0,11,2,-1,0
SQFALSE_D0_DrugRNAseq_U_R2,H37Rv,Untreated,0,0,11,2,-1,0
SQFALSE_D0_DrugRNAseq_U_R3,H37Rv,Untreated,0,0,11,2,-1,0
SQFALSE_D0_DrugRNAseq_U_R4,H37Rv,Untreated,0,0,11,2,-1,0
CLATRUE_D0_DrugRNAseq_U_R1,H37Rv,CLA,20uM,0,12,2,-1,0
CLATRUE_D0_DrugRNAseq_U_R2,H37Rv,CLA,20uM,0,12,2,-1,0
CLATRUE_D0_DrugRNAseq_U_R3,H37Rv,CLA,20uM,0,12,2,-1,0
CLAFALSE_D0_DrugRNAseq_U_R1,H37Rv,Untreated,0,0,12,2,-1,0
CLAFALSE_D0_DrugRNAseq_U_R2,H37Rv,Untreated,0,0,12,2,-1,0
CLAFALSE_D0_DrugRNAseq_U_R3,H37Rv,Untreated,0,0,12,2,-1,0
1_P218TRUE_D0_DrugRNAseq_U_R,H37Rv,P218,0.1uM,0,13,2,-1,0
2_P218TRUE_D0_DrugRNAseq_U_R,H37Rv,P218,0.1uM,0,13,2,-1,0
3_P218TRUE_D0_DrugRNAseq_U_R,H37Rv,P218,0.1uM,0,13,2,-1,0
4_P218TRUE_D0_DrugRNAseq_U_R,H37Rv,P218,0.1uM,0,13,2,-1,0
5_P218FALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,13,2,-1,0
6_P218FALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,13,2,-1,0
7_P218FALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,13,2,-1,0
8_P218FALSE_D0_DrugRNAseq_U_R,H37Rv,Untreated,0,0,13,2,-1,0
BTZTRUE_D0_DrugRNAseq_U_R1,H37Rv,BTZ043,0.006uM,0,14,2,-1,0
BTZTRUE_D0_DrugRNAseq_U_R2,H37Rv,BTZ043,0.006uM,0,14,2,-1,0
BTZTRUE_D0_DrugRNAseq_U_R3,H37Rv,BTZ043,0.006uM,0,14,2,-1,0
BTZFALSE_D0_DrugRNAseq_U_R1,H37Rv,Untreated,0,0,14,2,-1,0
BTZFALSE_D0_DrugRNAseq_U_R2,H37Rv,Untreated,0,0,14,2,-1,0
BTZFALSE_D0_DrugRNAseq_U_R3,H37Rv,Untreated,0,0,14,2,-1,0
GSM4818888,H37Rv,Untreated,0,0,15,2,-1,0
